Weather,Time of Day (minutes),Number of People
windy,8748,53
sunny,4247,0
rainy,8602,81
windy,2412,14
windy,6987,51
snowy,2807,49
sunny,2245,59
windy,61,57
snowy,6302,44
sunny,1581,53
sunny,84,54
windy,7453,27
sunny,4420,25
windy,4679,21
snowy,4898,52
windy,9863,26
windy,3896,42
rainy,4384,91
snowy,307,83
rainy,1804,74
snowy,6066,50
snowy,3936,43
sunny,4868,45
sunny,1528,30
windy,4263,82
windy,2683,65
sunny,4214,32
snowy,5186,49
snowy,7271,56
windy,1557,31
sunny,4165,31
snowy,4659,63
sunny,955,45
windy,9152,31
sunny,231,30
rainy,7880,73
snowy,3169,36
sunny,4596,14
windy,5020,59
snowy,7201,69
rainy,9534,64
windy,9071,64
rainy,32,83
snowy,2689,51
windy,6941,35
snowy,4947,57
windy,3887,34
sunny,8221,25
windy,43,58
snowy,100,61
sunny,7127,23
windy,6085,52
windy,3830,52
rainy,6948,90
windy,9482,37
snowy,6201,71
sunny,7776,22
windy,1181,87
windy,736,81
windy,4528,42
rainy,6213,101
rainy,1256,94
sunny,7937,20
sunny,9269,35
sunny,1302,31
sunny,3671,19
rainy,7308,62
windy,6495,39
rainy,654,72
rainy,6635,55
snowy,1617,59
sunny,4542,35
rainy,7269,65
sunny,6326,22
rainy,2597,91
sunny,1587,53
windy,9961,47
rainy,9401,92
rainy,7374,84
sunny,4118,24
windy,2343,27
snowy,8553,78
sunny,8636,36
sunny,864,15
rainy,3201,102
sunny,1378,25
snowy,8822,50
windy,5238,42
windy,6263,30
sunny,4395,61
windy,6320,63
windy,1747,51
rainy,7630,68
rainy,1136,113
sunny,7221,53
windy,3092,39
snowy,9885,78
windy,9720,24
snowy,1133,121
windy,7053,25
windy,5817,67
sunny,707,35
windy,3687,46
windy,5628,30
windy,7368,58
windy,2092,74
windy,8440,27
sunny,6130,9
windy,5290,33
snowy,8850,66
windy,9786,41
windy,6605,26
sunny,9076,18
rainy,3408,88
windy,6203,36
sunny,6815,6
rainy,2227,71
windy,7983,62
rainy,7450,83
windy,9110,38
windy,1032,47
windy,9500,42
rainy,211,74
rainy,5798,38
windy,9904,43
snowy,5810,63
rainy,7687,83
snowy,1380,68
sunny,9247,16
windy,1195,87
rainy,5321,77
sunny,8906,27
sunny,8953,48
snowy,5687,64
snowy,390,58
windy,7920,43
sunny,6876,7
sunny,4458,25
rainy,786,83
rainy,7375,89
snowy,3006,29
sunny,3879,49
snowy,7061,84
windy,4553,66
snowy,3617,37
windy,554,18
sunny,7637,58
snowy,4704,58
rainy,1015,69
sunny,8892,20
sunny,3990,39
rainy,3934,71
windy,690,43
snowy,2619,74
rainy,3890,81
windy,4334,44
sunny,9897,19
snowy,8846,59
sunny,8976,25
rainy,6601,58
snowy,3560,63
windy,6923,53
windy,7951,58
snowy,3251,58
sunny,4230,42
windy,7554,35
snowy,3726,72
windy,5689,54
rainy,5499,78
snowy,3990,61
sunny,656,39
snowy,5829,43
rainy,2715,72
snowy,2299,57
sunny,6564,8
snowy,7821,86
snowy,2353,57
snowy,3220,79
snowy,3234,71
snowy,7946,84
